Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
6,0.0059458760958424305,2.698689175875732e-05,1.8474915521814046e-07,2.6794730419187247e-07,5.955458629345433e-14,1.391552702701963e-09,-2.712818799025999e-15
6,0.0057951442072673946,2.5439726986960992e-05,1.710745072172874e-07,2.4937066484639586e-07,5.144720280847159e-14,1.2573970012334354e-09,-2.467472948424894e-15
6,0.005877830905519108,2.5548133698061235e-05,1.7130563423964635e-07,2.5851663114998023e-07,5.4315114885968255e-14,1.3060979849503943e-09,-3.081587265697626e-15
6,0.008293263900446704,5.324401409331939e-05,5.156366862521897e-07,7.487344354646904e-07,4.649908210886939e-13,5.46231124147256e-09,-1.4778567912990807e-14
6,0.0066384530836556075,3.378081908420116e-05,2.551928438432184e-07,3.7124610566194396e-07,1.1417194076426888e-13,2.1571045858962882e-09,-4.700305442142493e-15
6,0.005823414019297171,2.5324356120552308e-05,1.6912346229316322e-07,2.5139663806924597e-07,5.1764076806445874e-14,1.2646322070367848e-09,-2.7514778200419704e-15
6,0.005987701589511544,2.6713483370071718e-05,1.8350789986114985e-07,2.7377356536794006e-07,6.12708931110053e-14,1.4144681533477437e-09,-3.381612590982178e-15
6,0.005929397562556032,2.5705457768663564e-05,1.7259059956652916e-07,2.623097331999278e-07,5.570041748279215e-14,1.3294060125973091e-09,-3.532706462972952e-15
6,0.0059764217900199566,2.721955492397664e-05,1.8730810039603517e-07,2.74679861386456e-07,6.224682439077899e-14,1.432444001582646e-09,-2.6771956404970086e-15
6,0.005925736135640611,2.6309706204835358e-05,1.7952195745285096e-07,2.6586561806985817e-07,5.800947693744157e-14,1.363215775053423e-09,-2.929557387822781e-15
